noun_id,winner_address,winning_bid_eth
104,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,80.15
105,0x4680cb63563472cac10236c07d288580d8d7b52a,74.18
106,0xfe2f279d3679bac2d07cf46c93503410ef9ca448,71.09
107,0x14dfdd3613054ddb14af2fa51c8a75e17dade764,71.0
108,0x14dfdd3613054ddb14af2fa51c8a75e17dade764,63.47
109,0xaca3b4110403f3c4dacb35a7b3aa0a84efb6a3e9,69.0
110,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
112,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,82.33
114,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,73.33
116,0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,86.66
117,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9,69.69
119,0x91dccaa260cc4616e1a6e6b693db7207c5e42937,71.69
120,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
121,0xeac1c57ea577e480e8a59db6eb05d41ea0716e8b,53.0
122,0xeac1c57ea577e480e8a59db6eb05d41ea0716e8b,41.0
123,0x5382859146010ac16e142b6708f8e178e77f66bc,67.5
124,0xa15279215e2adb0d6abc2874f040d0800a1d9b8e,41.3
125,0x5382859146010ac16e142b6708f8e178e77f66bc,40.0
126,0xf504211d774c9b7d4c61959d6fe773d250a44dcf,44.44
127,0x4680cb63563472cac10236c07d288580d8d7b52a,24.2
128,0x5382859146010ac16e142b6708f8e178e77f66bc,45.38
129,0xcda92962a2fb878ac25548861d38420fd42e4676,69.0
130,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
131,0xf548e317e87434b1657f84dd57dea0c9d31b502f,53.75
132,0x5382859146010ac16e142b6708f8e178e77f66bc,54.77
133,0xfcbca52b23db28470eb97680d18e988d8b60b608,62.89
137,0x36a5bc205df1ed65c86301022cfc343a6ce546ff,49.0
138,0x98d0ef0bb5a3908b6b3942e838ea40161dae555d,39.28
140,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
141,0x81974c1a09e53c5129c6e4f74e547fda0adf4d2d,46.5
142,0x5382859146010ac16e142b6708f8e178e77f66bc,33.66
145,0x1977c4b06a76c160eff920c67fbc0635124364c8,34.38
146,0x6924686b3dcd04ae8ef91a3feccc262d020f519d,40.34
147,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,44.44
148,0xd879600d6e58ed385c9af4cad15bdf78a58889ae,37.46
149,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,49.25
150,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
151,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,63.7
152,0xf0d6999725115e3ead3d927eb3329d63afaec09b,65.69
153,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,38.0
154,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,51.0
156,0x008c84421da5527f462886cec43d2717b686a7e4,49.69
157,0x008c84421da5527f462886cec43d2717b686a7e4,48.84
158,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,54.0
159,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,69.0
160,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
162,0x5382859146010ac16e142b6708f8e178e77f66bc,45.91
163,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,56.57
164,0xc3bb8481be69bbacd14ed278ea219eb0f19748ac,61.2
165,0xf0d6999725115e3ead3d927eb3329d63afaec09b,65.69
166,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,41.44
167,0xd3e2e76e4ab0322614fe7aaa3be0b04bed83d0d0,49.99
168,0xa4c8d9e4ec5f2831701a81389465498b83f9457d,72.11
169,0xb337fa1974319076ca9758b7d919b601a94146cd,41.73
170,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
171,0xa422bfff5daba6eeefaff84debf609edf0868c5f,55.0
172,0xb47a70df538b9a3b591bc5d75da66a04c879b291,55.0
173,0xf476cd75be8fdd197ae0b466a2ec2ae44da41897,67.0
174,0x17cd072cbd45031efc21da538c783e0ed3b25dcc,57.83
175,0x1a13c53d516f6e8321e9903f224861e74bbd7aa0,67.0
176,0x5c503df9051b1dbb941f3046cb293c97d7cef4ad,67.63
177,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,99.99
178,0xa4e232fceedb3f43c8e707f8cf20b6bcf30f10e1,54.0
180,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
181,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,102.69
182,0xd0fc5e75a956145be23a5af7402feb05f03c92b6,98.88
183,0x88a83a7736941e78b55dcc29d0b04d0910f103e2,62.0
184,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,103.0
185,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,66.69
186,0x545854092877ef2f9f8a609aeeb9f5218e5cd2d5,88.88
187,0xbdf82063aed5b3765e9443dd0b252a09197b586a,76.0
188,0xac92c1e1eb0bf38e15b5de44d12d1a6da35f1338,91.0
189,0x73222225044ce0fc672ff9b6f9730d0a0421382c,89.89
190,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
