"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Token_ID","Method"
"0x82e72f22d5724c0f0085a54b737088bf14af89120d64cd3eaf95970d87d86c1e","13057906","1629405025","2021-08-19 20:30:25","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","13", "Settle Current And Create New Auction"
"0xd6e2151b829b29bf594abde70b1a9fbcc7396e7d2c29d2dc671d6b651bd745ab","13064333","1629491939","2021-08-20 20:38:59","0x830bd73e4184cef73443c15111a1df14e495c706","0x912a526852527dfb5d44c22a15b708aa493cda6b","13", "Settle Current And Create New Auction"
"0xd6e2151b829b29bf594abde70b1a9fbcc7396e7d2c29d2dc671d6b651bd745ab","13064333","1629491939","2021-08-20 20:38:59","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","14", "Settle Current And Create New Auction"
"0xd6e2151b829b29bf594abde70b1a9fbcc7396e7d2c29d2dc671d6b651bd745ab","13064333","1629491939","2021-08-20 20:38:59","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","14", "Settle Current And Create New Auction"
"0x7ee726431afff0d5146cea8353ef6f3d60f3613eb3b807bb5f1261733de32ceb","13070899","1629579363","2021-08-21 20:56:03","0x830bd73e4184cef73443c15111a1df14e495c706","0x1254958bd5073c6b238e516298f0c48f6f60a78e","14", "Settle Current And Create New Auction"
"0x7ee726431afff0d5146cea8353ef6f3d60f3613eb3b807bb5f1261733de32ceb","13070899","1629579363","2021-08-21 20:56:03","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","15", "Settle Current And Create New Auction"
"0x7ee726431afff0d5146cea8353ef6f3d60f3613eb3b807bb5f1261733de32ceb","13070899","1629579363","2021-08-21 20:56:03","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","15", "Settle Current And Create New Auction"
"0xb45f0869c80c9a38b2a59f581397c972d977fff2897abb36d8e46e3c9d36be54","13077458","1629666427","2021-08-22 21:07:07","0x830bd73e4184cef73443c15111a1df14e495c706","0x2536c09e5f5691498805884fa37811be3b2bddb4","15", "Settle Current And Create New Auction"
"0xb45f0869c80c9a38b2a59f581397c972d977fff2897abb36d8e46e3c9d36be54","13077458","1629666427","2021-08-22 21:07:07","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","16", "Settle Current And Create New Auction"
"0xb45f0869c80c9a38b2a59f581397c972d977fff2897abb36d8e46e3c9d36be54","13077458","1629666427","2021-08-22 21:07:07","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","16", "Settle Current And Create New Auction"
